Month,Elevation,SCA,CCA
8.0,4400,85.67932321868301,27.963395961257635
8.0,4500,83.37584961767203,32.05147362226424
8.0,4600,81.01465576005455,33.05025067616598
8.0,4700,83.16315655924889,34.36558866943328
8.0,4800,78.54418308963763,38.02177538981058
8.0,4900,70.84745762711864,39.147617311914736
8.0,5000,59.54430379746836,44.70396080032666
9.0,100,0.0,20.12616939573148
9.0,200,0.0,15.935910985779271
9.0,300,0.0,13.798415127129859
9.0,400,0.0,12.243907417518544
9.0,500,0.0,11.0206225509392
9.0,600,0.0,10.382500786094285
9.0,700,0.0,9.70490091720732
9.0,800,0.0,9.05061447174942
9.0,900,0.0,8.607768708223876
9.0,1000,0.0,8.071462313237129
9.0,1100,0.0,8.029992130786141
9.0,1200,0.0,8.160378293253109
9.0,1300,0.0,8.854511236196522
9.0,1400,0.01037817763560982,9.547409715618137
9.0,1500,0.010936723862972859,10.145394541758241
9.0,1600,0.04175517822448591,10.460756464971961
9.0,1700,0.13319447276682087,10.643274095013094
9.0,1800,0.3129382808964194,11.032520199561585
9.0,1900,0.6215020386689464,11.527177781996423
9.0,2000,1.155082714042632,11.945525279498156
9.0,2100,1.8364923974172018,12.531024915076834
9.0,2200,2.785956870373568,12.987499884083144
9.0,2300,4.827480257482219,13.476320388537086
9.0,2400,8.20831840139902,14.277430176078447
9.0,2500,12.727443564683334,14.804250984380078
9.0,2600,19.280350816909195,15.269919984687972
9.0,2700,28.74499810002141,15.685361032633724
9.0,2800,33.52415325292171,15.84833246793039
9.0,2900,43.885032904462896,16.244849144465153
9.0,3000,49.3727474869132,16.32338440292776
9.0,3100,54.96403359070137,16.592778734242277
9.0,3200,62.53904422263475,16.909899865152838
9.0,3300,67.9369282223443,17.424912115076253
9.0,3400,76.1052484685066,18.193732923938306
9.0,3500,79.64530706009305,18.496035310708322
9.0,3600,82.24015633203037,18.45021488246853
9.0,3700,83.74686038944543,18.512684980484618
9.0,3800,85.05808934094875,18.721439998827574
9.0,3900,85.99802797190073,18.853154693081773
9.0,4000,85.16274215402618,18.95037427657259
9.0,4100,85.67647238700955,19.690029152141506
9.0,4200,86.28497215914382,19.919307313970897
9.0,4300,83.51188057592096,21.06760175288795
9.0,4400,82.15084597664628,21.746862340138215
9.0,4500,80.92873831775702,23.958480836401407
9.0,4600,79.0639059304704,24.706458759372882
9.0,4700,81.48261862471455,25.38727480334941
9.0,4800,80.63000635727911,28.11727414000141
9.0,4900,74.30750605326877,28.947403820285178
9.0,5000,66.64556962025317,31.54887482419127
10.0,100,0.0,15.945410515432076
10.0,200,0.0,12.272021518762052
10.0,300,0.0,10.193680512191497
10.0,400,0.0,8.484340992683597
